L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs11865578	rs876856	1.0	0.74	0.01	0.11	0.99	547	44.82
rs11865578	rs13330623	1.0	0.47	0.0060	0.07	0.98	2251	-
rs11865578	rs6497415	0.905	17.86	0.617	0.76	0.97	4110	-
rs11865578	rs6497416	0.953	24.56	0.868	0.84	0.99	4163	-
rs11865578	rs227760	1.0	1.19	0.035	0.2	1.0	5191	-
rs11865578	rs6497417	0.883	3.51	0.107	0.52	0.97	7278	-
rs11865578	rs183452	0.939	10.45	0.293	0.74	0.99	10018	-
rs11865578	rs7404256	0.882	3.46	0.111	0.52	0.97	15871	-
rs11865578	rs4782296	0.856	2.56	0.069	0.43	0.96	16124	-
rs11865578	rs1690402	0.93	8.13	0.228	0.71	0.99	18241	-
rs11865578	rs1634673	0.93	8.13	0.228	0.71	0.99	20324	-
rs11865578	rs1634675	1.0	1.41	0.034	0.24	1.0	21639	-
rs11865578	rs9935689	1.0	0.0	0.0	0.0	0.0	22251	-
rs11865578	rs9936083	1.0	0.0	0.0	0.0	0.0	22505	-
rs876856	rs13330623	0.848	6.99	0.448	0.53	0.96	1704	57.92
rs876856	rs6497415	0.432	1.55	0.054	0.15	0.69	3563	-
rs876856	rs6497416	1.0	0.72	0.01	0.11	0.99	3616	-
rs876856	rs227760	1.0	0.96	0.014	0.15	0.99	4644	-
rs876856	rs6497417	0.255	0.11	0.0030	0.02	0.7	6731	-
rs876856	rs183452	1.0	1.37	0.031	0.23	1.0	9471	-
rs876856	rs7404256	1.0	2.9	0.072	0.5	1.0	15324	-
rs876856	rs4782296	0.0020	0.0	0.0	0.01	0.64	15577	-
rs876856	rs1690402	0.461	0.63	0.022	0.08	0.77	17694	-
rs876856	rs1634673	0.461	0.63	0.022	0.08	0.77	19777	-
rs876856	rs1634675	1.0	0.93	0.013	0.14	0.99	21092	-
rs876856	rs9935689	1.0	0.0	0.0	0.0	0.0	21704	-
rs876856	rs9936083	1.0	0.0	0.0	0.0	0.0	21958	-
rs13330623	rs6497415	1.0	5.25	0.181	0.62	1.0	1859	71.44
rs13330623	rs6497416	1.0	0.45	0.0060	0.07	0.98	1912	-
rs13330623	rs227760	1.0	0.61	0.0080	0.09	0.99	2940	-
rs13330623	rs6497417	1.0	1.61	0.033	0.28	1.0	5027	-
rs13330623	rs183452	1.0	1.24	0.019	0.2	1.0	7767	-
rs13330623	rs7404256	1.0	2.08	0.045	0.37	1.0	13620	-
rs13330623	rs4782296	1.0	1.41	0.023	0.24	1.0	13873	-
rs13330623	rs1690402	1.0	2.42	0.063	0.42	1.0	15990	-
rs13330623	rs1634673	1.0	2.42	0.063	0.42	1.0	18073	-
